# TYPE: validation-run
# S029 synthetic fixture tape, seed 29 [example]. All numbers synthetic.
ev,event_ts,open,high,low,close,volume
1,1757000000000000000,99.65,100.0,99.4,99.7,800
2,1757000060000000000,99.74000000000001,100.09,99.49000000000001,99.79,800
3,1757000120000000000,99.83,100.17999999999999,99.58,99.88,800
4,1757000180000000000,99.92,100.27,99.67,99.97,800
5,1757000240000000000,100.01,100.36,99.76,100.06,800
6,1757000300000000000,100.10000000000001,100.45,99.85000000000001,100.15,800
7,1757000360000000000,100.19,100.53999999999999,99.94,100.24,800
8,1757000420000000000,100.28,100.63,100.03,100.33,800
9,1757000480000000000,100.37,100.72,100.12,100.42,800
10,1757000540000000000,100.45,100.8,100.2,100.5,800
11,1757000600000000000,100.0,100.8,99.8,100.2,850
12,1757000660000000000,100.0,100.8,99.8,100.2,840
13,1757000720000000000,100.0,100.8,99.8,100.2,830
14,1757000780000000000,100.0,100.8,99.8,100.2,820
15,1757000840000000000,100.0,100.8,99.8,100.2,810
16,1757000900000000000,100.0,100.8,99.8,100.2,800
17,1757000960000000000,100.0,100.8,99.8,100.2,790
18,1757001020000000000,100.0,100.8,99.8,100.2,780
19,1757001080000000000,100.0,100.8,99.8,100.2,770
20,1757001140000000000,100.0,100.8,99.8,100.2,760
21,1757001200000000000,100.0,100.8,99.8,100.2,750
22,1757001260000000000,100.0,100.8,99.8,100.2,740
23,1757001320000000000,100.0,100.8,99.8,100.2,730
24,1757001380000000000,100.0,100.8,99.8,100.2,720
25,1757001440000000000,100.0,100.8,99.8,100.2,710
26,1757001500000000000,100.0,100.8,99.8,100.2,700
27,1757001560000000000,100.0,100.8,99.8,100.2,690
28,1757001620000000000,100.0,100.8,99.8,100.2,680
29,1757001680000000000,100.0,100.8,99.8,100.2,670
30,1757001740000000000,100.2,102.5,100.0,102.0,2500
