# TYPE: validation-run — expected intents for T028; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,1.8606601717798212,18.6066,2.0,False,OK,flat
1,1789045260000000000,,HOLD,0,,1.8606601717798212,18.6066,2.0,False,OK,flat
2,1789045320000000000,,HOLD,0,,1.8606601717798212,18.6066,2.0,False,OK,flat
3,1789045380000000000,1789045380000000000,BUY,930,100.0,1.8606601717798212,18.6066,7.442640687119285,True,OK,entry
4,1789045440000000000,,HOLD,0,,1.8606601717798212,18.6066,4.0,True,OK,hold
5,1789045500000000000,,HOLD,0,,1.8606601717798212,18.6066,3.0,False,OK,hold
6,1789045560000000000,1789045560000000000,SELL,928,100.28,1.8606601717798212,18.6066,3.0,False,OK,exit
7,1789045620000000000,,HOLD,0,,1.8606601717798212,18.6066,0.05,False,OK,gate-block
8,1789045680000000000,,HOLD,0,,1.8606601717798212,18.6066,4.0,True,UNKNOWN,invalid-input
9,1789045740000000000,,HOLD,0,,1.8606601717798212,18.6066,2.0,False,OFF,kill-trip
10,1789045800000000000,,HOLD,0,,1.8606601717798212,18.6066,2.0,False,OFF,kill-tripped
11,1789045860000000000,,HOLD,0,,1.8606601717798212,18.6066,2.0,False,OFF,kill-tripped
