# TYPE: validation-run — synthetic 12-bar tape for T033; all numbers synthetic [example]
bar,event_ts,asof_ts,symbol,close,signal_z,edge_bps,notional,adv_pct,adv_shares,stop_bps,urgency,market_state,daily_pnl_pct
0,1789045200000000000,1789045200000250000,XYZ,100.22,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
1,1789131600000000000,1789131600000250000,XYZ,100.17,1.0,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
2,1789218000000000000,1789218000000250000,XYZ,100.47,1.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
3,1789304400000000000,1789304400000250000,XYZ,100.43,2.4,12.856854249492379,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
4,1789390800000000000,1789390800000250000,XYZ,100.34,1.8,4.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
5,1789477200000000000,1789477200000250000,XYZ,100.15,1.4,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
6,1789563600000000000,1789563600000250000,XYZ,100.17,0.25,3.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
7,1789650000000000000,1789650000000250000,XYZ,99.85,2.6,0.05,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
8,1789736400000000000,1789736400000250000,XYZ,100.01,1.8,4.0,100000,0.5,2000000,25,normal,HALTED,0.05
9,1789822800000000000,1789822800000250000,XYZ,100.14,2.4,6.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,-1.1
10,1789909200000000000,1789909200000250000,XYZ,100.04,2.4,6.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
11,1789995600000000000,1789995600000250000,XYZ,100.34,0.6,2.0,100000,0.5,2000000,25,normal,CONTINUOUS_TRADING,0.05
