# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,SPX-DISP,100.0068,100.0868,99.9268,100.0168,100000,4.0,1,250.0
1788960600000000000,SPX-DISP,100.0385,100.1185,99.9585,100.0485,107919,6.0,1,250.0
1789047000000000000,SPX-DISP,100.0129,100.0929,99.9329,100.0229,115838,9.0,1,250.0
1789133400000000000,SPX-DISP,99.9779,100.0579,99.8979,99.9879,123757,10.5,1,250.0
1789219800000000000,SPX-DISP,100.0032,100.0832,99.9232,100.0132,131676,9.5,1,250.0
1789306200000000000,SPX-DISP,100.0231,100.1032,99.9431,100.0331,139595,7.0,1,250.0
1789392600000000000,SPX-DISP,99.9847,100.0647,99.9048,99.9947,147514,3.0,1,250.0
1789479000000000000,SPX-DISP,99.9675,100.0475,99.8876,99.9775,105433,8.5,1,250.0
1789565400000000000,SPX-DISP,100.0038,100.0838,99.9238,100.0138,113352,9.0,1,250.0
1789651800000000000,SPX-DISP,100.0058,100.0858,99.9258,100.0158,121271,5.0,1,250.0
1789738200000000000,SPX-DISP,99.9638,100.0438,99.8839,99.9738,129190,2.0,1,250.0
1789824600000000000,SPX-DISP,99.9681,100.0481,99.8882,99.9781,137109,1.0,1,250.0
