# TYPE: validation-run
# S029 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,sma,sd,bb_up,bb_lo,atr,kc_up,kc_lo,bb_brk,kc_brk
1,,,,,,,,0,0
2,,,,,,,,0,0
3,,,,,,,,0,0
4,,,,,,,,0,0
5,,,,,,,,0,0
6,,,,,,,,0,0
7,,,,,,,,0,0
8,,,,,,,,0,0
9,,,,,,,,0,0
10,,,,,,,,0,0
11,,,,,,,,0,0
12,,,,,,,,0,0
13,,,,,,,,0,0
14,,,,,,,,0,0
15,,,,,,,,0,0
16,,,,,,,,0,0
17,,,,,,,,0,0
18,,,,,,,,0,0
19,,,,,,,,0,0
20,100.152,0.18792551716038958,100.52785103432078,99.77614896567923,0.7999999999999972,101.752,98.552,0,0
21,100.17699999999999,0.15681517783684054,100.49063035567367,99.86336964432631,0.8199999999999974,101.817,98.53699999999999,0,0
22,100.1975,0.12926233016621708,100.45602466033245,99.93897533966756,0.8399999999999977,101.8775,98.51750000000001,0,0
23,100.2135,0.10683047318064219,100.42716094636128,99.99983905363871,0.859999999999998,101.9335,98.4935,0,0
24,100.225,0.09124143795447236,100.40748287590894,100.04251712409105,0.8799999999999983,101.98499999999999,98.465,0,0
25,100.232,0.0833426661440575,100.39868533228811,100.06531466771189,0.8999999999999986,102.032,98.432,0,0
26,100.2345,0.0815766510712462,100.39765330214249,100.0713466978575,0.9199999999999988,102.0745,98.3945,0,0
27,100.2325,0.0819069594112726,100.39631391882254,100.06868608117746,0.9399999999999992,102.1125,98.3525,0,0
28,100.226,0.07901898506055302,100.3840379701211,100.0679620298789,0.9599999999999994,102.146,98.306,0,0
29,100.215,0.06538348415310949,100.34576696830622,100.08423303169378,0.9799999999999998,102.175,98.25500000000001,0,0
30,100.28999999999999,0.39230090491866004,101.07460180983732,99.50539819016267,1.075,102.44,98.13999999999999,1,0
