# TYPE: validation-run
# R021: expected indicator values/states, computed causally from the tape
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,0.3500000000,baseline,1788220800000000000,OK
2,1788307200000000000,0.3571428571,baseline,1788307200000000000,OK
3,1788393600000000000,0.3536585366,baseline,1788393600000000000,OK
4,1788480000000000000,0.3604651163,baseline,1788480000000000000,OK
5,1788566400000000000,0.3566265060,baseline,1788566400000000000,OK
6,1788652800000000000,0.3636363636,baseline,1788652800000000000,OK
7,1788739200000000000,0.3576470588,baseline,1788739200000000000,OK
8,1788825600000000000,0.3657407407,baseline,1788825600000000000,OK
9,1788912000000000000,0.3571428571,baseline,1788912000000000000,OK
10,1788998400000000000,0.5526315789,mixed,1788998400000000000,OK
