# TYPE: validation-run
# R024: expected indicator values/states, computed causally from the tape
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,0.0800000000,on_hold,1788220800000000000,OK
2,1788307200000000000,0.2000000000,on_hold,1788307200000000000,OK
3,1788393600000000000,0.2800000000,on_hold,1788393600000000000,OK
4,1788480000000000000,0.3600000000,on_hold,1788480000000000000,OK
5,1788566400000000000,0.4400000000,on_hold,1788566400000000000,OK
6,1788652800000000000,0.5200000000,on_hold,1788652800000000000,OK
7,1788739200000000000,0.5600000000,on_hold,1788739200000000000,OK
8,1788825600000000000,0.6000000000,hike_biased,1788825600000000000,OK
9,1788912000000000000,0.6400000000,hike_biased,1788912000000000000,OK
10,1788998400000000000,0.6800000000,hike_biased,1788998400000000000,OK
