# TYPE: validation-run
# S051 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,spread,phi,alpha,kappa,halflife,active,scalar,dir
d1,8.0,,,,,0,0.0,0
d2,6.4,,,,,0,0.0,0
d3,5.120000000000001,,,,,0,0.0,0
d4,4.096000000000001,,,,,0,0.0,0
d5,3.2768000000000006,0.8000000000000002,-8.881784197001252e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d6,2.6214400000000007,0.8,8.881784197001252e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d7,2.097152000000001,0.8000000000000002,-4.440892098500626e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d8,1.6777216000000006,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d9,1.3421772800000007,0.8,-4.440892098500626e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d10,1.0737418240000005,0.7999999999999999,4.440892098500626e-16,0.22314355131420985,3.1062837195053885,1,1.0,0
d11,0.8589934592000005,0.8000000000000002,0.0,0.22314355131420957,3.1062837195053925,1,1.0,0
d12,0.6871947673600004,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d13,0.5497558138880003,0.8,-4.440892098500626e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d14,0.4398046511104003,0.8000000000000002,-4.440892098500626e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d15,0.3518437208883203,0.8000000000000002,0.0,0.22314355131420957,3.1062837195053925,1,1.0,0
d16,0.28147497671065624,0.8000000000000002,0.0,0.22314355131420957,3.1062837195053925,1,1.0,0
d17,0.225179981368525,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d18,0.18014398509482002,0.7999999999999999,6.661338147750939e-16,0.22314355131420985,3.1062837195053885,1,1.0,0
d19,0.14411518807585602,0.8,-2.220446049250313e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d20,0.11529215046068482,0.7999999999999999,2.220446049250313e-16,0.22314355131420985,3.1062837195053885,1,1.0,0
d21,0.09223372036854786,0.8,-2.220446049250313e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d22,0.0737869762948383,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d23,0.05902958103587064,0.8000000000000002,-2.220446049250313e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d24,0.04722366482869651,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d25,0.037778931862957214,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d26,0.030223145490365772,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d27,0.02417851639229262,0.8,2.220446049250313e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d28,0.019342813113834095,0.8,2.220446049250313e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d29,0.015474250491067277,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d30,0.012379400392853823,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d31,0.009903520314283059,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d32,0.007922816251426447,0.8000000000000002,-2.220446049250313e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d33,0.006338253001141159,0.8000000000000002,-1.1102230246251565e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d34,0.0050706024009129266,0.8000000000000002,0.0,0.22314355131420957,3.1062837195053925,1,1.0,0
d35,0.004056481920730342,0.8,1.1102230246251565e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d36,0.0032451855365842734,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d37,0.002596148429267419,0.8,-1.1102230246251565e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d38,0.0020769187434139355,0.8000000000000002,-1.1102230246251565e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d39,0.0016615349947311482,0.8,-2.220446049250313e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d40,0.0013292279957849188,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d41,0.001063382396627935,0.8000000000000002,-2.220446049250313e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d42,0.0008507059173023481,0.8,-1.1102230246251565e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d43,0.0006805647338418785,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d44,0.0005444517870735029,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d45,0.0004355614296588023,0.7999999999999999,2.220446049250313e-16,0.22314355131420985,3.1062837195053885,1,1.0,0
d46,0.00034844914372704185,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d47,0.0002787593149816335,0.7999999999999999,2.220446049250313e-16,0.22314355131420985,3.1062837195053885,1,1.0,0
d48,0.00022300745198530682,0.8000000000000002,-1.1102230246251565e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d49,0.00017840596158824547,0.8000000000000002,-1.1102230246251565e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d50,0.00014272476927059639,0.7999999999999999,1.1102230246251565e-16,0.22314355131420985,3.1062837195053885,1,1.0,0
d51,0.0001141798154164771,0.8,1.1102230246251565e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d52,9.134385233318169e-05,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d53,7.307508186654536e-05,0.8000000000000002,0.0,0.22314355131420957,3.1062837195053925,1,1.0,0
d54,5.846006549323629e-05,0.8,1.1102230246251565e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d55,4.676805239458903e-05,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d56,3.741444191567123e-05,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d57,2.9931553532536984e-05,0.8000000000000002,-1.1102230246251565e-16,0.22314355131420957,3.1062837195053925,1,1.0,0
d58,2.394524282602959e-05,0.8,1.1102230246251565e-16,0.2231435513142097,3.1062837195053903,1,1.0,0
d59,1.9156194260823672e-05,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
d60,1.532495540865894e-05,0.8,0.0,0.2231435513142097,3.1062837195053903,1,1.0,0
