# TYPE: validation-run
# S042 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,logret,sqret
s01,,
s02,-0.0005924968126786125,3.510524730343149e-07
s03,-0.0007509698018233747,5.639556432506387e-07
s04,-0.0004122372386221343,1.6993954090680247e-07
s05,0.004060910488043659,1.649099399190299e-05
s06,-0.0005017355608058374,2.517385729771482e-07
s07,-0.008035443778875311,6.456835672346595e-05
s08,0.002027750892372411,4.111773681517108e-06
s09,-0.0012703561317344606,1.6138047014353422e-06
s10,-0.0009932727627985792,9.865907813175225e-07
s11,0.0008373663268545923,7.011823653499519e-07
s12,0.0014776375529869028,2.1834127379971217e-06
s13,0.006599572776295269,4.3554360829617646e-05
s14,0.009806612255908294,9.616964393773075e-05
s15,0.0018998146127960156,3.609295562993275e-06
s16,-0.010389430873007036,0.00010794027386499175
s17,-0.014390260700456271,0.0002070796030270962
s18,0.0038664183833789305,1.4949191115330542e-05
s19,0.019281581886713875,0.0003717794000540526
s20,0.0009030076889265369,8.154228862604451e-07
s21,-0.0012394320209269223,1.5361917344989946e-06
s22,0.007998899384353282,6.398239136100732e-05
s23,-0.02074435731113392,0.0004303283602519953
s24,-0.004221210693251674,1.781861971682228e-05
