# TYPE: validation-run
# S048 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,kappa,halflife,dir
s0,,,0
s1,,,0
s2,0.050000000000000044,13.862943611198894,-1
s3,0.050000000000000024,13.862943611198899,-1
s4,0.05,13.862943611198904,-1
s5,0.05,13.862943611198904,-1
s6,0.05,13.862943611198904,-1
s7,0.05,13.862943611198904,-1
s8,0.05,13.862943611198904,-1
s9,0.05,13.862943611198904,-1
s10,0.05,13.862943611198904,-1
s11,0.05,13.862943611198904,-1
s12,0.05000000000000001,13.862943611198903,-1
s13,0.05,13.862943611198904,-1
s14,0.05000000000000001,13.862943611198903,-1
s15,0.05,13.862943611198904,-1
s16,0.05,13.862943611198904,-1
s17,0.05,13.862943611198904,-1
s18,0.05,13.862943611198904,-1
s19,0.05,13.862943611198904,-1
s20,0.05,13.862943611198904,-1
s21,0.05000000000000001,13.862943611198903,-1
s22,0.05,13.862943611198904,-1
s23,0.05,13.862943611198904,-1
s24,0.05,13.862943611198904,-1
s25,0.05,13.862943611198904,-1
s26,0.05,13.862943611198904,-1
s27,0.05,13.862943611198904,-1
s28,0.05,13.862943611198904,-1
s29,0.05,13.862943611198904,-1
s30,0.05,13.862943611198904,-1
