# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,AAA,250.0171,250.2171,249.817,250.0421,100000,1.0,1,0.75
1788874260000000000,AAA,250.0962,250.2963,249.8962,250.1212,107919,2.0,1,0.75
1788874320000000000,AAA,250.0322,250.2323,249.8322,250.0572,115838,3.0,1,0.75
1788874380000000000,AAA,249.9447,250.1447,249.7447,249.9697,123757,4.0,1,0.75
1788874440000000000,AAA,250.0081,250.2081,249.8081,250.0331,131676,5.0,1,0.75
1788874500000000000,AAA,250.0579,250.2579,249.8578,250.0829,139595,2.0,1,0.75
1788874560000000000,AAA,249.9619,250.1618,249.7619,249.9869,147514,-1.0,1,0.75
1788874620000000000,AAA,249.9188,250.1188,249.7189,249.9438,105433,-3.0,1,0.75
1788874680000000000,AAA,250.0095,250.2095,249.8095,250.0345,113352,-4.0,1,0.75
1788874740000000000,AAA,250.0146,250.2146,249.8145,250.0396,121271,-2.0,1,0.75
1788874800000000000,AAA,249.9096,250.1095,249.7097,249.9346,129190,1.0,1,0.75
1788874860000000000,AAA,249.9204,250.1203,249.7204,249.9453,137109,3.0,1,0.75
