# TYPE: validation-run
# SYNTHETIC panel: seed=42032 [fixed]; phases A(0-79) neg-corr, B(80-100) 21-bar pos blip, C(101-170) sustained pos, D(171-190) 20-bar neg dip, E(191-239) sustained neg; bar 130 has missing tlt (F1 pin)
ts_ns,spy,tlt
1767571200000000000,0.011490140114174738,-0.007082484645515415
1767657600000000000,0.006751746500432059,-0.008123425315229124
1767744000000000000,-0.00952703291010765,0.0020911620370103233
1767830400000000000,0.0016612584611173323,0.010490611887809006
1767916800000000000,-0.009875788654676435,0.00456503946550242
1768003200000000000,0.0009307729541144583,0.0094912534630623
1768089600000000000,0.013577548695151848,-0.01629842157902004
1768176000000000000,0.008530154432410878,-0.009888321371575966
1768262400000000000,0.013787249310857324,-0.008151495921276718
1768348800000000000,0.0021807425698143774,0.0066030300846333725
1768435200000000000,-0.000687173694114588,-0.006258765361084076
1768521600000000000,-0.007538540925884846,0.011352234759788396
1768608000000000000,-0.00909044322423454,0.0009094703919173301
1768694400000000000,0.00614627339088677,-0.002733496970583763
1768780800000000000,-0.010461067134371763,-0.0018653231856168555
1768867200000000000,0.014586445603630175,-0.00919209425934455
1768953600000000000,0.01688298478531258,-0.009007088239019578
1769040000000000000,-0.012753680565664949,0.008977503783866605
1769126400000000000,0.0025620500984234462,-0.00263082533073904
1769212800000000000,-0.006424167645504748,0.005597130415226783
1769299200000000000,-0.00649796350925549,0.0006311269518381943
1769385600000000000,-0.007724043095852822,0.0007434038574524841
1769472000000000000,-0.0016138979048931812,0.0003806763775423259
1769558400000000000,-0.00505003608499876,0.003055343502519502
1769644800000000000,-0.0003439702438740209,0.00013546764426099287
1769731200000000000,-0.01221751845563103,0.010320838266547956
1769817600000000000,-0.006885612339209394,0.007505408109609826
1769904000000000000,-0.0030847687080997866,-0.0014159360598495832
1769990400000000000,-0.008183930904292513,-0.0006261832663024751
1770076800000000000,0.007548672193168947,-0.00560850656760624
1770163200000000000,0.0003690640395224759,-0.003831953291184782
1770249600000000000,0.016203723889018987,-0.009315220759589007
1770336000000000000,0.007956846046229949,-0.009162032957789508
