# TYPE: validation-run
# R003: expected indicator values/states, computed causally from the tape
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,0.2222222222,contango,1788220800000000000,OK
2,1788307200000000000,0.1842105263,contango,1788307200000000000,OK
3,1788393600000000000,0.0952380952,flat,1788393600000000000,OK
4,1788480000000000000,-0.0576923077,backwardation,1788480000000000000,OK
5,1788566400000000000,-0.1333333333,backwardation,1788566400000000000,OK
6,1788652800000000000,-0.0416666667,flat,1788652800000000000,OK
7,1788739200000000000,0.1000000000,flat,1788739200000000000,OK
8,1788825600000000000,0.1315789474,contango,1788825600000000000,OK
9,1788912000000000000,0.1666666667,contango,1788912000000000000,OK
10,1788998400000000000,0.1714285714,contango,1788998400000000000,OK
