# TYPE: validation-run
# S049 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,spread,form_mean,form_sd,z,dir
d1,-0.016508764898928274,0.0004170000000000192,0.010326000000000005,,0
d2,-0.012924485273272834,0.0004170000000000192,0.010326000000000005,,0
d3,-0.009340205647617505,0.0004170000000000192,0.010326000000000005,,0
d4,-0.005755926021962066,0.0004170000000000192,0.010326000000000005,,0
d5,-0.0021716463963066257,0.0004170000000000192,0.010326000000000005,,0
d6,0.0014126332293487032,0.0004170000000000192,0.010326000000000005,,0
d7,0.0014126332293487032,0.0004170000000000192,0.010326000000000005,,0
d8,0.002607393104567146,0.0004170000000000192,0.010326000000000005,,0
d9,0.006191672730222697,0.0004170000000000192,0.010326000000000005,,0
d10,0.009775952355878026,0.0004170000000000192,0.010326000000000005,,0
d11,0.013360231981533355,0.0004170000000000192,0.010326000000000005,,0
d12,0.016944511607188906,0.0004170000000000192,0.010326000000000005,,0
d13,0.02499999999999991,0.0004170000000000192,0.010326000000000005,2.3806895215959596,-1
d14,0.014999999999999902,0.0004170000000000192,0.010326000000000005,1.4122603137710512,-1
d15,0.004999999999999893,0.0004170000000000192,0.010326000000000005,0.44383110594614295,0
d16,0.0,0.0004170000000000192,0.010326000000000005,-0.0403834979663005,0
