# TYPE: validation-run
# Expected outputs for S079; tolerance 1e-9 [default]; all numbers synthetic, seed 79 [example].
# Cost stack v1.1.0: 1.00 spread [example] + 0.30 venue taker [documented] + 2.06 SEC Sec31 [documented] = 3.36 bps; edge 2.0 [example] => cost veto active on all 12 rows (gate suffix |COST).
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,p_vol,gate
40,1788960600000000000,0,0.7727711715055774,0.3863855857527887,OK,2.0,3.36,0.1136144142472113,FULL|COST
41,1788960900000000000,0,0.9005012176127588,0.4502506088063794,OK,2.0,3.36,0.049749391193620575,FULL|COST
42,1788961200000000000,0,0.9420040512065324,0.4710020256032662,OK,2.0,3.36,0.02899797439673377,FULL|COST
43,1788961500000000000,0,0.9545065973486802,0.4772532986743401,OK,2.0,3.36,0.0227467013256599,FULL|COST
44,1788961800000000000,0,0.9996603922593184,0.4998301961296592,OK,2.0,3.36,0.9998301961296592,SUSPEND|COST
45,1788962100000000000,0,0.9312390589005011,0.46561952945025054,OK,2.0,3.36,0.9656195294502505,SUSPEND|COST
46,1788962400000000000,0,0.6633827794838552,0.3316913897419276,OK,2.0,3.36,0.8316913897419276,SUSPEND|COST
47,1788962700000000000,0,0.14699556243772216,0.07349778121886108,OK,2.0,3.36,0.5734977812188611,FULL|COST
48,1788963000000000000,0,0.20511688241887083,0.10255844120943541,OK,2.0,3.36,0.3974415587905646,FULL|COST
49,1788963300000000000,0,0.3494850894816258,0.1747425447408129,OK,2.0,3.36,0.3252574552591871,FULL|COST
50,1788963600000000000,0,0.729895311774029,0.3649476558870145,OK,2.0,3.36,0.1350523441129855,FULL|COST
51,1788963900000000000,0,0.6191569503148907,0.30957847515744535,OK,2.0,3.36,0.19042152484255465,FULL|COST
