# TYPE: validation-run — expected intents for T027; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,30.62842712474619,306.2843,2.0,False,OK,flat
1,1789045500000000000,,HOLD,0,,30.62842712474619,306.2843,2.0,False,OK,flat
2,1789045800000000000,,HOLD,0,,30.62842712474619,306.2843,2.0,False,OK,flat
3,1789046100000000000,1789046100000000000,SHORT,1005,,30.62842712474619,306.2843,122.51370849898476,True,OK,entry
4,1789046400000000000,,HOLD,0,,30.62842712474619,306.2843,4.0,False,OK,hold
5,1789046700000000000,,HOLD,0,,30.62842712474619,306.2843,3.0,False,OK,hold
6,1789047000000000000,1789047000000000000,BUY,1003,,30.62842712474619,306.2843,3.0,False,OK,exit
7,1789047300000000000,,HOLD,0,,30.62842712474619,306.2843,0.05,False,OK,gate-veto-c10
8,1789047600000000000,,HOLD,0,,30.62842712474619,306.2843,4.0,False,UNKNOWN,invalid-input
9,1789047900000000000,,HOLD,0,,30.62842712474619,306.2843,4.0,False,OFF,kill-trip
10,1789048200000000000,,HOLD,0,,30.62842712474619,306.2843,4.0,False,OFF,kill-tripped
11,1789048500000000000,,HOLD,0,,30.62842712474619,306.2843,2.0,False,OFF,kill-tripped
