# TYPE: validation-run
# R013: expected indicator values/states, computed causally from the tape
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,nan,warming,1788220800000000000,DEGRADED
2,1788307200000000000,nan,warming,1788307200000000000,DEGRADED
3,1788393600000000000,nan,warming,1788393600000000000,DEGRADED
4,1788480000000000000,nan,warming,1788480000000000000,DEGRADED
5,1788566400000000000,nan,warming,1788566400000000000,DEGRADED
6,1788652800000000000,0.0000000000,normal,1788652800000000000,OK
7,1788739200000000000,0.7071067812,normal,1788739200000000000,OK
8,1788825600000000000,-0.4778948196,normal,1788825600000000000,OK
9,1788912000000000000,0.3455849669,normal,1788912000000000000,OK
10,1788998400000000000,3.6783995577,abnormal,1788998400000000000,OK
