# TYPE: validation-run
# S050 synthetic fixture tape, seed 50 [example]. All numbers synthetic.
id,event_ts,sym,close
d1A,1757000000000000000,A,22.641059732631295
d1B,1757000001000000000,B,12.292073549240396
d2A,1757086400000000000,A,26.386321319915567
d2B,1757086401000000000,B,12.545464871341284
d3A,1757172800000000000,A,24.704492265035363
d3B,1757172801000000000,B,12.757056000402994
d4A,1757259200000000000,A,27.70548316916458
d4B,1757259201000000000,B,12.962159875234603
d5A,1757345600000000000,A,24.946792048146563
d5B,1757345601000000000,B,13.202053786266843
d6A,1757432000000000000,A,27.45783029164248
d6B,1757432001000000000,B,13.486029225090054
d7A,1757518400000000000,A,27.241850765563626
d7B,1757518401000000000,B,13.782849329935939
d8A,1757604800000000000,A,29.23240345474121
d8B,1757604801000000000,B,14.049467912331169
d9A,1757691200000000000,A,26.921972376982925
d9B,1757691201000000000,B,14.270605924262087
d10A,1757777600000000000,A,30.402913413298187
d10B,1757777601000000000,B,14.472798944455532
d11A,1757864000000000000,A,28.752305190728432
d11B,1757864001000000000,B,14.700000489672465
d12A,1757950400000000000,A,30.594038496816456
d12B,1757950401000000000,B,14.973171354099978
d13A,1758036800000000000,A,29.742016703682662
d13B,1758036801000000000,B,15.271008351841331
d14A,1758123200000000000,A,29.89906073556949
d14B,1758123201000000000,B,15.549530367784744
d15A,1758209600000000000,A,29.565028784015713
d15B,1758209601000000000,B,15.782514392007856
d16A,1758296000000000000,A,30.471209668333493
d16B,1758296001000000000,B,15.985604834166747
d17A,1758382400000000000,A,30.855790376218067
d17B,1758382401000000000,B,16.201930125406022
d18A,1758468800000000000,A,31.387351912984247
d18B,1758468801000000000,B,16.462450637661416
d19A,1758555200000000000,A,32.02248158144944
d19B,1758555201000000000,B,16.757493860483148
d20A,1758641600000000000,A,32.636941787609146
d20B,1758641601000000000,B,17.04564726253638
d21A,1758728000000000000,A,33.12549834578041
d21B,1758728001000000000,B,17.291832781926804
d22A,1758814400000000000,A,33.49867230360644
d22B,1758814401000000000,B,17.49955743453548
d23A,1758900800000000000,A,33.87306693937373
d23B,1758900801000000000,B,17.707688979791243
d24A,1758987200000000000,A,34.36416324569901
d24B,1758987201000000000,B,17.95472108189967
d25A,1759073600000000000,A,34.98014723748533
d25B,1759073601000000000,B,18.243382412495112
d26A,1759160000000000000,A,35.61438376757194
d26B,1759160001000000000,B,18.53812792252398
d27A,1759246400000000000,A,36.14345638926067
d27B,1759246401000000000,B,18.797818796420223
d28A,1759332800000000000,A,36.54063586824618
d28B,1759332801000000000,B,19.013545289415394
d29A,1759419200000000000,A,36.90045491736806
d29B,1759419201000000000,B,19.216818305789353
d30A,1759505600000000000,A,37.351795256386076
d30B,1759505601000000000,B,19.45059841879536
