# TYPE: validation-run — expected intents for T047; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,6.414213562373095,128.2843,2.0,False,OK,flat
1,1789131600000000000,,HOLD,0,,6.414213562373095,128.2843,2.0,False,OK,flat
2,1789218000000000000,,HOLD,0,,6.414213562373095,128.2843,2.0,False,OK,flat
3,1789304400000000000,1789304400000000000,LONG,2004,,6.414213562373095,128.2843,25.65685424949238,True,OK,entry
4,1789390800000000000,,HOLD,0,,6.414213562373095,128.2843,4.0,False,OK,hold
5,1789477200000000000,,HOLD,0,,6.414213562373095,128.2843,3.0,False,OK,hold
6,1789563600000000000,1789563600000000000,BUY,1977,,6.414213562373095,128.2843,3.0,False,OK,exit
7,1789650000000000000,,HOLD,0,,6.414213562373095,128.2843,0.05,False,OK,gate-block
8,1789736400000000000,,HOLD,0,,6.414213562373095,128.2843,4.0,False,UNKNOWN,invalid-input
9,1789822800000000000,,HOLD,0,,6.414213562373095,128.2843,6.0,False,OFF,kill-trip
10,1789909200000000000,,HOLD,0,,6.414213562373095,128.2843,6.0,False,OFF,kill-tripped
11,1789995600000000000,,HOLD,0,,6.414213562373095,128.2843,2.0,False,OFF,kill-tripped
