# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,SPY,600.0409,600.521,599.5609,600.1009,100000,0.5,1,6.0
1788960600000000000,SPY,600.231,600.7112,599.7508,600.291,107919,0.55,1,6.0
1789047000000000000,SPY,600.0774,600.5574,599.5973,600.1374,115838,0.62,1,6.0
1789133400000000000,SPY,599.8673,600.3472,599.3874,599.9273,123757,0.72,1,6.0
1789219800000000000,SPY,600.0194,600.4994,599.5394,600.0794,131676,0.7,1,6.0
1789306200000000000,SPY,600.1388,600.619,599.6587,600.1989,139595,0.58,1,6.0
1789392600000000000,SPY,599.9085,600.3884,599.4286,599.9685,147514,0.45,1,6.0
1789479000000000000,SPY,599.8052,600.285,599.3253,599.8652,105433,0.3,1,6.0
1789565400000000000,SPY,600.0228,600.5028,599.5428,600.0828,113352,0.28,1,6.0
1789651800000000000,SPY,600.0349,600.515,599.5549,600.0949,121271,0.4,1,6.0
1789738200000000000,SPY,599.783,600.2629,599.3032,599.843,129190,0.55,1,6.0
1789824600000000000,SPY,599.8089,600.2887,599.329,599.8688,137109,0.68,1,6.0
