# TYPE: validation-run
# weekly regime tape: raw vendor-grade inputs; labels are computed, never stored
ts_ns,bull,bear,pcr,fut_net
1749130200000000000,38.5,35.5,0.9173176787846317,12.274379414605454
1749735000000000000,43.54882590884738,34.324210936422446,0.9297995989283243,6.91399463371186
1750339800000000000,43.955784560954086,31.349835714501204,0.9227437941460546,0.10513687245824865
1750944600000000000,39.3467200483592,27.975769477000714,0.8978777715283165,-2.9993860605128067
1751549400000000000,33.95918502815243,25.788888296656708,0.8612896006447893,-0.050133102978572985
1752154200000000000,32.74645435202117,25.817716563546018,0.8219373417848304,6.720959904702524
1752759000000000000,36.823507010806445,28.0486958932965,0.7894558003753657,12.189664766493015
1753363800000000000,42.441919592312736,31.432561847112876,0.7717975905867922,12.217374670050347
1753968600000000000,44.436149479740294,34.37782939255125,0.7732860580269489,6.783119312801981
1754573400000000000,40.97271091145054,35.499293181917075,0.7935567739543686,-0.0005651911430568646
1755178200000000000,35.23587333466378,34.269511271716524,0.8276467601440859,-2.999921652405628
1755783000000000000,32.50005876069578,31.266869310189325,0.8672095990470252,0.054903102103733836
1756387800000000000,35.28056249199739,27.90355672941658,0.9025589278975031,6.852078600812312
1756992600000000000,41.02100222095984,25.76139198934444,0.9250399981419791,12.247637938467701
1757597400000000000,44.44364413416922,25.847868639476232,0.9291486597298705,12.158329377124033
1758202200000000000,42.4017270409427,28.12231536002004,0.9138789690098792,6.651739855502373
1758807000000000000,36.772580100009606,31.51502431909375,0.8829694788193405,-0.10485345878357943
1759411800000000000,32.73161504872266,34.43035148070519,0.8439879103630552,-2.998195448584089
1760016600000000000,33.99407651936994,35.49717292750503,0.8064783111288504,0.16133742074972712
1760621400000000000,39.399263257977715,34.213745863518355,0.7796243392022664,6.982673663863679
1761226200000000000,43.977671504365766,31.183686091039167,0.7700007834759437,12.303562005821021
1761831000000000000,43.519933831216335,27.83207806705441,0.7799638260249258,12.097260229538795
1762435800000000000,38.446892144257575,25.7352354155641,0.8070741665599652,6.519893406363502
1763040600000000000,33.42267757494898,25.879335999634346,0.844694248211904,-0.20769844532997528
1763645400000000000,33.06652982796026,28.196607062943173,0.8836133629461312,-2.9942079370930212
1764250200000000000,37.70588949941336,31.597199816057298,0.9143027541241296,0.26913976107900517
1764855000000000000,12.0,68.0,1.45,-28.0
1765459800000000000,15.0,62.0,1.3,-22.0
1766064600000000000,28.0,38.0,0.95,-8.0
1766669400000000000,40.0,32.0,0.85,5.0
1767274200000000000,,30.0,0.82,5.0
1769088600000000000,41.0,27.0,0.79,7.0
1769693400000000000,10.0,70.0,1.55,-30.0
