# TYPE: validation-run — expected intents for T030; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,2.7142135623730947,27.1421,2.0,False,OK,flat
1,1789045210000000000,,HOLD,0,,2.7142135623730947,27.1421,2.0,False,OK,flat
2,1789045220000000000,,HOLD,0,,2.7142135623730947,27.1421,2.0,False,OK,flat
3,1789045230000000000,1789045230000000000,LONG,1004,,2.7142135623730947,27.1421,10.856854249492379,True,OK,entry
4,1789045240000000000,,HOLD,0,,2.7142135623730947,27.1421,4.0,False,OK,hold
5,1789045250000000000,,HOLD,0,,2.7142135623730947,27.1421,3.0,False,OK,hold
6,1789045260000000000,1789045260000000000,BUY,1006,,2.7142135623730947,27.1421,3.0,False,OK,exit
7,1789045270000000000,,HOLD,0,,2.7142135623730947,27.1421,0.05,False,OK,gate-block
8,1789045280000000000,,HOLD,0,,2.7142135623730947,27.1421,4.0,False,UNKNOWN,invalid-input
9,1789045290000000000,,HOLD,0,,2.7142135623730947,27.1421,2.0,False,OFF,kill-trip
10,1789045300000000000,,HOLD,0,,2.7142135623730947,27.1421,2.0,False,OFF,kill-tripped
11,1789045310000000000,,HOLD,0,,2.7142135623730947,27.1421,2.0,False,OFF,kill-tripped
