# TYPE: validation-run — expected intents for T033; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OK,flat
1,1789131600000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OK,flat
2,1789218000000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OK,flat
3,1789304400000000000,1789304400000000000,LONG,995,,3.2142135623730947,32.1421,12.856854249492379,True,OK,entry
4,1789390800000000000,,HOLD,0,,3.2142135623730947,32.1421,4.0,False,OK,hold
5,1789477200000000000,,HOLD,0,,3.2142135623730947,32.1421,3.0,False,OK,hold
6,1789563600000000000,1789563600000000000,SELL,998,,3.2142135623730947,32.1421,3.0,False,OK,exit
7,1789650000000000000,,HOLD,0,,3.2142135623730947,32.1421,0.05,False,OK,gate-block
8,1789736400000000000,,HOLD,0,,3.2142135623730947,32.1421,4.0,False,UNKNOWN,invalid-input
9,1789822800000000000,,HOLD,0,,3.2142135623730947,32.1421,6.0,False,OFF,kill-trip
10,1789909200000000000,,HOLD,0,,3.2142135623730947,32.1421,6.0,False,OFF,kill-tripped
11,1789995600000000000,,HOLD,0,,3.2142135623730947,32.1421,2.0,False,OFF,kill-tripped
