# TYPE: validation-run
# Expected R032 labels from the normative §R2 reference detect(), estimator_version=1.1.0; regenerate only with the fixture builder
ts_ns,state,value,module_state
1767571200000000000,UNKNOWN,,UNKNOWN
1767657600000000000,UNKNOWN,,UNKNOWN
1767744000000000000,UNKNOWN,,UNKNOWN
1767830400000000000,UNKNOWN,,UNKNOWN
1767916800000000000,UNKNOWN,,UNKNOWN
1768003200000000000,UNKNOWN,,UNKNOWN
1768089600000000000,UNKNOWN,,UNKNOWN
1768176000000000000,UNKNOWN,,UNKNOWN
1768262400000000000,UNKNOWN,,UNKNOWN
1768348800000000000,UNKNOWN,,UNKNOWN
1768435200000000000,UNKNOWN,,UNKNOWN
1768521600000000000,UNKNOWN,,UNKNOWN
1768608000000000000,UNKNOWN,,UNKNOWN
1768694400000000000,UNKNOWN,,UNKNOWN
1768780800000000000,UNKNOWN,,UNKNOWN
1768867200000000000,UNKNOWN,,UNKNOWN
1768953600000000000,UNKNOWN,,UNKNOWN
1769040000000000000,UNKNOWN,,UNKNOWN
1769126400000000000,UNKNOWN,,UNKNOWN
1769212800000000000,UNKNOWN,,UNKNOWN
1769299200000000000,TRANSITION,-0.7168238839117893,DEGRADED
1769385600000000000,TRANSITION,-0.710922869256246,DEGRADED
1769472000000000000,TRANSITION,-0.7113431997755034,DEGRADED
1769558400000000000,TRANSITION,-0.7151321292967143,DEGRADED
1769644800000000000,TRANSITION,-0.7152457532047558,DEGRADED
1769731200000000000,TRANSITION,-0.7374066855350097,DEGRADED
1769817600000000000,TRANSITION,-0.7439150312332349,DEGRADED
1769904000000000000,TRANSITION,-0.7398098411052589,DEGRADED
1769990400000000000,TRANSITION,-0.7271371581191658,DEGRADED
1770076800000000000,TRANSITION,-0.7334624640537449,DEGRADED
1770163200000000000,TRANSITION,-0.7316671458437498,DEGRADED
1770249600000000000,TRANSITION,-0.7470385244667372,DEGRADED
1770336000000000000,TRANSITION,-0.7536883837534885,DEGRADED
1770422400000000000,TRANSITION,-0.7535653500016541,DEGRADED
1770508800000000000,TRANSITION,-0.7548236704523874,DEGRADED
1770595200000000000,TRANSITION,-0.7593368998834374,DEGRADED
1770681600000000000,TRANSITION,-0.7358760511899038,DEGRADED
1770768000000000000,TRANSITION,-0.7301281178940369,DEGRADED
1770854400000000000,TRANSITION,-0.75214424976618,DEGRADED
1770940800000000000,TRANSITION,-0.7521636373797269,DEGRADED
1771027200000000000,FLIGHT_TO_QUALITY,-0.751676862124348,DEGRADED
1771113600000000000,FLIGHT_TO_QUALITY,-0.7506069110062997,DEGRADED
1771200000000000000,FLIGHT_TO_QUALITY,-0.753209622638113,DEGRADED
1771286400000000000,FLIGHT_TO_QUALITY,-0.7393945924852264,DEGRADED
1771372800000000000,FLIGHT_TO_QUALITY,-0.738904701155127,DEGRADED
1771459200000000000,FLIGHT_TO_QUALITY,-0.727169880564552,DEGRADED
1771545600000000000,FLIGHT_TO_QUALITY,-0.7416054744015317,DEGRADED
1771632000000000000,FLIGHT_TO_QUALITY,-0.7589594368291466,DEGRADED
1771718400000000000,FLIGHT_TO_QUALITY,-0.7601509578863394,DEGRADED
1771804800000000000,FLIGHT_TO_QUALITY,-0.7544702432755342,DEGRADED
1771891200000000000,FLIGHT_TO_QUALITY,-0.764266258735188,DEGRADED
1771977600000000000,FLIGHT_TO_QUALITY,-0.7635943337350661,DEGRADED
1772064000000000000,FLIGHT_TO_QUALITY,-0.7644460694254112,DEGRADED
1772150400000000000,FLIGHT_TO_QUALITY,-0.7689539769755462,DEGRADED
1772236800000000000,FLIGHT_TO_QUALITY,-0.7684055746255231,DEGRADED
1772323200000000000,FLIGHT_TO_QUALITY,-0.7668433250284974,DEGRADED
1772409600000000000,FLIGHT_TO_QUALITY,-0.7697935645919359,DEGRADED
1772496000000000000,FLIGHT_TO_QUALITY,-0.7596035152915854,DEGRADED
1772582400000000000,FLIGHT_TO_QUALITY,-0.7591559302526709,DEGRADED
