# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,AAA,30.002,30.026,29.978,30.005,100000,0.2,1,0.015
1788874201000000000,AAA,30.0115,30.0356,29.9875,30.0145,107919,0.5,1,0.015
1788874202000000000,AAA,30.0039,30.0279,29.9799,30.0069,115838,0.9,1,0.015
1788874203000000000,AAA,29.9934,30.0174,29.9694,29.9964,123757,1.2,1,0.015
1788874204000000000,AAA,30.001,30.025,29.977,30.004,131676,0.4,1,0.015
1788874205000000000,AAA,30.0069,30.0309,29.9829,30.0099,139595,-0.3,1,0.015
1788874206000000000,AAA,29.9954,30.0194,29.9714,29.9984,147514,-1.1,0,0.015
1788874207000000000,AAA,29.9903,30.0143,29.9663,29.9933,105433,-0.8,1,0.015
1788874208000000000,AAA,30.0011,30.0251,29.9771,30.0041,113352,-0.2,1,0.015
1788874209000000000,AAA,30.0017,30.0257,29.9777,30.0047,121271,0.9,1,0.015
1788874210000000000,AAA,29.9892,30.0131,29.9652,29.9922,129190,0.5,1,0.015
1788874211000000000,AAA,29.9904,30.0144,29.9665,29.9934,137109,0.1,1,0.015
