# TYPE: validation-run — expected intents for T045; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,4.007106781186547,200.3553,2.0,False,OK,flat
1,1789131600000000000,,HOLD,0,,4.007106781186547,200.3553,2.0,False,OK,flat
2,1789218000000000000,,HOLD,0,,4.007106781186547,200.3553,2.0,False,OK,flat
3,1789304400000000000,1789304400000000000,SHORT,504,,4.007106781186547,200.3553,60.0,True,OK,entry
4,1789390800000000000,,HOLD,0,,4.007106781186547,200.3553,4.0,False,OK,hold
5,1789477200000000000,,HOLD,0,,4.007106781186547,200.3553,3.0,False,OK,hold
6,1789563600000000000,1789563600000000000,BUY,504,,4.007106781186547,200.3553,3.0,False,OK,exit
7,1789650000000000000,,HOLD,0,,4.007106781186547,200.3553,0.05,False,OK,gate-block
8,1789736400000000000,,HOLD,0,,4.007106781186547,200.3553,4.0,False,UNKNOWN,invalid-input
9,1789822800000000000,,HOLD,0,,4.007106781186547,200.3553,60.0,True,OFF,kill-trip
10,1789909200000000000,,HOLD,0,,4.007106781186547,200.3553,60.0,True,OFF,kill-tripped
11,1789995600000000000,,HOLD,0,,4.007106781186547,200.3553,2.0,False,OFF,kill-tripped
