# TYPE: validation-run
# S050 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,spread,form_mean,form_sd,z,dir
d1,-1.9430873658494967,-2.9605947323337506e-16,1.3008999999999993,,0
d2,1.2953915772329978,-2.9605947323337506e-16,1.3008999999999993,,0
d3,-0.8096197357706245,-2.9605947323337506e-16,1.3008999999999993,,0
d4,1.7811634186953746,-2.9605947323337506e-16,1.3008999999999993,,0
d5,-1.4573155243871234,-2.9605947323337506e-16,1.3008999999999993,,0
d6,0.4857718414623733,-2.9605947323337506e-16,1.3008999999999993,,0
d7,-0.3238478943082512,-2.9605947323337506e-16,1.3008999999999993,,0
d8,1.1334676300788722,-2.9605947323337506e-16,1.3008999999999993,,0
d9,-1.619239471541249,-2.9605947323337506e-16,1.3008999999999993,,0
d10,1.4573155243871234,-2.9605947323337506e-16,1.3008999999999993,,0
d11,-0.6476957886164989,-2.9605947323337506e-16,1.3008999999999993,,0
d12,0.6476957886164989,-2.9605947323337506e-16,1.3008999999999993,,0
d13,-0.8000000000000007,-2.9605947323337506e-16,1.3008999999999993,-0.6149588746252601,0
d14,-1.1999999999999993,-2.9605947323337506e-16,1.3008999999999993,-0.9224383119378889,0
d15,-2.0,-2.9605947323337506e-16,1.3008999999999993,-1.5373971865631493,1
d16,-1.5,-2.9605947323337506e-16,1.3008999999999993,-1.153047889922362,1
d17,-1.5480698745939776,-2.9605947323337506e-16,1.3008999999999993,-1.1899991349019743,1
d18,-1.5375493623385843,-2.9605947323337506e-16,1.3008999999999993,-1.1819120319306518,1
d19,-1.4925061395168555,-2.9605947323337506e-16,1.3008999999999993,-1.1472873699107204,1
d20,-1.4543527374636156,-2.9605947323337506e-16,1.3008999999999993,-1.1179589034234885,1
d21,-1.4581672180732,-2.9605947323337506e-16,1.3008999999999993,-1.1208910893021757,1
d22,-1.5004425654645175,-2.9605947323337506e-16,1.3008999999999993,-1.1533880893723716,1
d23,-1.542311020208757,-2.9605947323337506e-16,1.3008999999999993,-1.1855723116371417,1
d24,-1.5452789181003297,-2.9605947323337506e-16,1.3008999999999993,-1.187853730571397,1
d25,-1.5066175875048913,-2.9605947323337506e-16,1.3008999999999993,-1.1581348201282895,1
d26,-1.4618720774760234,-2.9605947323337506e-16,1.3008999999999993,-1.1237390095134323,1
d27,-1.4521812035797765,-2.9605947323337506e-16,1.3008999999999993,-1.1162896483817182,1
d28,-1.48645471058461,-2.9605947323337506e-16,1.3008999999999993,-1.1426356450031598,1
d29,-1.533181694210647,-2.9605947323337506e-16,1.3008999999999993,-1.1785546115847858,1
d30,-1.5494015812046413,-2.9605947323337506e-16,1.3008999999999993,-1.1910228159002552,1
