# TYPE: validation-run
# S038 synthetic fixture tape, seed 38 [example]. All numbers synthetic.
id,event_ts,side,price,mid
e0,1757000000000000000,ask,100.01,100.0
e1,1757000001000000000,bid,99.97999999999999,99.99
e2,1757000002000000000,ask,99.99000000000001,99.98
e3,1757000003000000000,bid,99.96499999999999,99.975
e4,1757000004000000000,bid,99.955,99.965
e5,1757000005000000000,bid,99.945,99.955
e6,1757000006000000000,ask,99.96000000000001,99.95
e7,1757000007000000000,ask,99.96300000000001,99.953
e8,1757000008000000000,bid,99.94699999999999,99.957
e9,1757000009000000000,ask,99.971,99.961
e10,1757000010000000000,bid,99.955,99.965
e11,1757000011000000000,ask,99.97800000000001,99.968
