# TYPE: validation-run
# R025: expected indicator values/states, computed causally from the tape
bar,event_ts,exp_value,exp_state,exp_computed_at,exp_module_state
1,1788220800000000000,-20.0000000000,flat,1788220800000000000,OK
2,1788307200000000000,-30.0000000000,inverted,1788307200000000000,OK
3,1788393600000000000,-38.0000000000,inverted,1788393600000000000,OK
4,1788480000000000000,-45.0000000000,inverted,1788480000000000000,OK
5,1788566400000000000,-52.0000000000,inverted,1788566400000000000,OK
6,1788652800000000000,-52.0000000000,inverted,1788652800000000000,OK
7,1788739200000000000,-57.0000000000,inverted,1788739200000000000,OK
8,1788825600000000000,-60.0000000000,inverted,1788825600000000000,OK
9,1788912000000000000,-60.0000000000,inverted,1788912000000000000,OK
10,1788998400000000000,-60.0000000000,inverted,1788998400000000000,OK
