# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,AAA,50.0034,50.0434,49.9634,50.0084,100000,5.0,1,0.75
1788960600000000000,AAA,50.0192,50.0593,49.9792,50.0242,107919,12.0,1,0.75
1789047000000000000,AAA,50.0064,50.0465,49.9664,50.0114,115838,25.0,1,0.75
1789133400000000000,AAA,49.9889,50.0289,49.9489,49.9939,123757,30.0,1,0.75
1789219800000000000,AAA,50.0016,50.0416,49.9616,50.0066,131676,28.0,1,0.75
1789306200000000000,AAA,50.0116,50.0516,49.9716,50.0166,139595,22.0,1,0.75
1789392600000000000,AAA,49.9924,50.0324,49.9524,49.9974,147514,15.0,1,0.75
1789479000000000000,AAA,49.9838,50.0238,49.9438,49.9888,105433,8.0,1,0.75
1789565400000000000,AAA,50.0019,50.0419,49.9619,50.0069,113352,3.0,1,0.75
1789651800000000000,AAA,50.0029,50.0429,49.9629,50.0079,121271,22.0,1,0.75
1789738200000000000,AAA,49.9819,50.0219,49.9419,49.9869,129190,26.0,1,0.75
1789824600000000000,AAA,49.9841,50.0241,49.9441,49.9891,137109,18.0,1,0.75
