# TYPE: validation-run
# S051 synthetic fixture tape, seed 51 [example]. All numbers synthetic.
id,event_ts,spread
d1,1757000000000000000,8.0
d2,1757086400000000000,6.4
d3,1757172800000000000,5.120000000000001
d4,1757259200000000000,4.096000000000001
d5,1757345600000000000,3.2768000000000006
d6,1757432000000000000,2.6214400000000007
d7,1757518400000000000,2.097152000000001
d8,1757604800000000000,1.6777216000000006
d9,1757691200000000000,1.3421772800000007
d10,1757777600000000000,1.0737418240000005
d11,1757864000000000000,0.8589934592000005
d12,1757950400000000000,0.6871947673600004
d13,1758036800000000000,0.5497558138880003
d14,1758123200000000000,0.4398046511104003
d15,1758209600000000000,0.3518437208883203
d16,1758296000000000000,0.28147497671065624
d17,1758382400000000000,0.225179981368525
d18,1758468800000000000,0.18014398509482002
d19,1758555200000000000,0.14411518807585602
d20,1758641600000000000,0.11529215046068482
d21,1758728000000000000,0.09223372036854786
d22,1758814400000000000,0.0737869762948383
d23,1758900800000000000,0.05902958103587064
d24,1758987200000000000,0.04722366482869651
d25,1759073600000000000,0.037778931862957214
d26,1759160000000000000,0.030223145490365772
d27,1759246400000000000,0.02417851639229262
d28,1759332800000000000,0.019342813113834095
d29,1759419200000000000,0.015474250491067277
d30,1759505600000000000,0.012379400392853823
d31,1759592000000000000,0.009903520314283059
d32,1759678400000000000,0.007922816251426447
d33,1759764800000000000,0.006338253001141159
d34,1759851200000000000,0.0050706024009129266
d35,1759937600000000000,0.004056481920730342
d36,1760024000000000000,0.0032451855365842734
d37,1760110400000000000,0.002596148429267419
d38,1760196800000000000,0.0020769187434139355
d39,1760283200000000000,0.0016615349947311482
d40,1760369600000000000,0.0013292279957849188
d41,1760456000000000000,0.001063382396627935
d42,1760542400000000000,0.0008507059173023481
d43,1760628800000000000,0.0006805647338418785
d44,1760715200000000000,0.0005444517870735029
d45,1760801600000000000,0.0004355614296588023
d46,1760888000000000000,0.00034844914372704185
d47,1760974400000000000,0.0002787593149816335
d48,1761060800000000000,0.00022300745198530682
d49,1761147200000000000,0.00017840596158824547
d50,1761233600000000000,0.00014272476927059639
d51,1761320000000000000,0.0001141798154164771
d52,1761406400000000000,9.134385233318169e-05
d53,1761492800000000000,7.307508186654536e-05
d54,1761579200000000000,5.846006549323629e-05
d55,1761665600000000000,4.676805239458903e-05
d56,1761752000000000000,3.741444191567123e-05
d57,1761838400000000000,2.9931553532536984e-05
d58,1761924800000000000,2.394524282602959e-05
d59,1762011200000000000,1.9156194260823672e-05
d60,1762097600000000000,1.532495540865894e-05
