# TYPE: validation-run
event_ts,symbol,open,high,low,close,volume,sig,gate,stop_dist
1788874200000000000,ES,6000.4092,6005.2096,5995.6089,6001.0093,100000,0.5,1,100.0
1788874260000000000,ES,6002.3097,6007.1116,5997.5079,6002.91,107919,1.2,1,100.0
1788874320000000000,ES,6000.7737,6005.5743,5995.973,6001.3737,115838,2.8,1,100.0
1788874380000000000,ES,5998.6729,6003.4719,5993.874,5999.2728,123757,3.5,1,100.0
1788874440000000000,ES,6000.1943,6004.9945,5995.3942,6000.7943,131676,2.2,1,100.0
1788874500000000000,ES,6001.3884,6006.1895,5996.5873,6001.9886,139595,1.0,1,100.0
1788874560000000000,ES,5999.085,6003.8842,5994.2857,5999.6849,147514,-0.05,1,100.0
1788874620000000000,ES,5998.0517,6002.8502,5993.2533,5998.6515,105433,-2.6,1,100.0
1788874680000000000,ES,6000.2283,6005.0285,5995.4281,6000.8283,113352,-3.2,1,100.0
1788874740000000000,ES,6000.3494,6005.1497,5995.5491,6000.9494,121271,-1.5,1,100.0
1788874800000000000,ES,5997.8303,6002.6286,5993.0321,5998.4301,129190,-0.3,1,100.0
1788874860000000000,ES,5998.0885,6002.887,5993.2901,5998.6883,137109,0.4,1,100.0
