# TYPE: validation-run — expected intents for T049; cost_call_* from the COST-block callable
bar,event_ts,intent_ts,action,qty,limit,cost_call_bps,cost_call_usd,edge_bps,gate_pass,module_state,note
0,1789045200000000000,,HOLD,0,,3.5677669529663687,71.3553,2.0,False,OK,flat
1,1789045800000000000,,HOLD,0,,3.5677669529663687,71.3553,2.0,False,OK,flat
2,1789046400000000000,,HOLD,0,,3.5677669529663687,71.3553,2.0,False,OK,flat
3,1789047000000000000,1789047000000000000,LONG,992,,3.5677669529663687,71.3553,14.271067811865475,True,OK,entry
4,1789047600000000000,,HOLD,0,,3.5677669529663687,71.3553,4.0,False,OK,hold
5,1789048200000000000,,HOLD,0,,3.5677669529663687,71.3553,3.0,False,OK,hold
6,1789048800000000000,1789048800000000000,BUY,993,,3.5677669529663687,71.3553,3.0,False,OK,exit
7,1789049400000000000,,HOLD,0,,3.5677669529663687,71.3553,0.05,False,OK,gate-block
8,1789050000000000000,,HOLD,0,,3.5677669529663687,71.3553,4.0,False,UNKNOWN,invalid-input
9,1789050600000000000,,HOLD,0,,3.5677669529663687,71.3553,4.0,False,OFF,kill-trip
10,1789051200000000000,,HOLD,0,,3.5677669529663687,71.3553,4.0,False,OFF,kill-tripped
11,1789051800000000000,,HOLD,0,,3.5677669529663687,71.3553,2.0,False,OFF,kill-tripped
