# TYPE: validation-run
# S045 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,mean,sd,z,vol_ratio,dir
1,,,,,0
2,,,,,0
3,,,,,0
4,,,,,0
5,,,,,0
6,,,,,0
7,,,,,0
8,,,,,0
9,,,,,0
10,,,,,0
11,,,,,0
12,,,,,0
13,,,,,0
14,,,,,0
15,,,,,0
16,,,,,0
17,,,,,0
18,,,,,0
19,,,,,0
20,100.152,0.18792551716038958,0.2554203427256505,0.9470404984423676,0
21,100.17699999999999,0.15681517783684054,0.14666947624126575,0.9375,0
22,100.1975,0.12926233016621708,0.01934051472523358,0.9284818067754078,0
23,100.2135,0.10683047318064219,-0.1263684377505839,0.9199747952110902,0
24,100.225,0.09124143795447236,-0.27399831217550485,0.9119696010132996,0
25,100.232,0.0833426661440575,-0.383956999223958,0.9044585987261147,0
26,100.2345,0.0815766510712462,-0.4229151300886709,0.8974358974358975,0
27,100.2325,0.0819069594112726,-0.3967916796521443,0.8908973531310523,0
28,100.226,0.07901898506055302,-0.3290348513091151,0.8848405985686402,0
29,100.215,0.06538348415310949,-0.22941573387057262,0.8792650918635171,0
30,100.28999999999999,0.39230090491866004,4.358898943540701,1.0747051114023591,-1
