# TYPE: validation-run
# S043 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,spread,direction
2024-06,1.5332482797291416,1
2024-07,1.195046670390159,1
2024-08,2.805469169579089,1
2024-09,1.4760622205520324,1
2024-10,2.05966934671776,1
2024-11,2.9374290405769585,1
2024-12,1.483972945241124,1
2025-01,0.6195144384641509,1
2025-02,-0.14842073747457007,0
2025-03,1.6902350830508617,1
2025-04,-0.7381843481826422,-1
2025-05,1.8625124220227942,1
2025-06,0.14246028086791007,0
2025-07,0.8152579864214484,1
2025-08,2.0200241546386,1
2025-09,3.5725873855715804,1
2025-10,2.215897471623082,1
2025-11,2.4296977107960114,1
2025-12,0.980487682280021,1
2026-01,0.8583192369975698,1
2026-02,-0.3543363152697907,0
2026-03,0.10603118819866353,0
2026-04,0.5871513799338519,1
2026-05,1.3131019956674734,1
