# TYPE: validation-run
# S040 expected features for the fixture tape. Recomputed by the reference implementation; blanks = warmup (NaN).
id,dev,sigma,z,trig,dir
bar1,0.0,,,0,0
bar2,0.020000000000010232,,,0,0
bar3,0.04000000000000625,,,0,0
bar4,0.09000000000000341,,,0,0
bar5,0.0799999999999983,0.03847076812334132,2.079500979640175,1,-1
bar6,0.04999999999999716,0.03444802848736882,1.4514618744678187,0,0
bar7,0.01999999999999602,0.03302235894778207,0.605650251443933,0,0
bar8,-0.010000000000005116,0.035831949031955225,-0.27908054878865324,0,0
bar9,-0.060000000000002274,0.046398036356918165,-1.2931581745927916,0,0
bar10,-0.09000000000000341,0.05699902533279922,-1.5789743679742236,0,0
bar11,-0.09999999999999432,0.06407382106176131,-1.5606998044272005,0,0
bar12,-0.10999999999999943,0.06934214687571613,-1.586336808941833,0,0
