# TYPE: validation-run
# Expected outputs for S081; tolerance 1e-9 [default]; all numbers synthetic, seed 81 [example].
ev,computed_at,direction,confidence,capital,module_state,edge_bps,cost_bps,fill_event_ts,d,z,burst
69,7290000000,0,0.0,0.0,OK,0.09887861177048347,7.4,7291000000,0.025000000000000355,-0.09887861177048347,0
70,7460000000,0,0.0,0.0,OK,0.5024146680854547,7.4,7461000000,-0.46799999999999997,-0.5024146680854547,0
71,7460000000,0,0.0,0.0,OK,1.0246377997871816,7.4,7461000000,-1.1059999999999999,-1.0246377997871816,0
72,7470000000,0,0.0,0.0,OK,1.5288532372922972,7.4,7471000000,-1.7219999999999995,-1.5288532372922972,0
73,7500000000,0,0.0,0.0,OK,1.9757714659900143,7.4,7501000000,-2.2680000000000007,-1.9757714659900143,0
74,7500000000,0,0.0,0.0,OK,2.5053613816812645,7.4,7501000000,-2.915000000000001,-2.5053613816812645,1
75,7520000000,0,0.0,0.0,OK,2.954735205042154,7.4,7521000000,-3.4639999999999995,-2.954735205042154,1
76,7530000000,0,0.0,0.0,OK,2.380126053859375,7.4,7531000000,-2.7619999999999987,-2.380126053859375,1
77,7550000000,0,0.0,0.0,OK,2.8082180568060897,7.4,7551000000,-3.285,-2.8082180568060897,1
78,7600000000,0,0.0,0.0,OK,2.1018253253662933,7.4,7601000000,-2.4220000000000006,-2.1018253253662933,1
79,7730000000,0,0.0,0.0,OK,2.1231071457804696,7.4,7731000000,-2.4479999999999995,-2.1231071457804696,1
80,7820000000,0,0.0,0.0,OK,2.300728493083408,7.4,7821000000,-2.665,-2.300728493083408,1
81,7821000000,0,0.0,0.0,OK,1.992469509699599,7.4,7822000000,2.58,1.992469509699599,0
82,7822000000,0,0.0,0.0,OK,2.0088401407874272,7.4,7823000000,2.5999999999999996,2.0088401407874272,1
