# TYPE: validation-run
# S044 synthetic fixture tape, seed 44 [example]. All numbers synthetic.
ev,event_ts,open,high,low,close,volume
1,1757000000000000000,103.45,105.0,100.0,103.5,1000
2,1757000060000000000,103.5,105.0,100.0,103.6,990
3,1757000120000000000,103.6,105.0,100.0,103.7,980
4,1757000180000000000,103.7,105.0,100.0,103.8,970
5,1757000240000000000,103.8,105.0,100.0,103.9,960
6,1757000300000000000,103.9,105.0,100.0,104.0,950
7,1757000360000000000,104.0,105.0,100.0,104.1,940
8,1757000420000000000,104.1,105.0,100.0,104.2,930
9,1757000480000000000,104.2,105.0,100.0,104.3,920
10,1757000540000000000,104.3,105.0,100.0,104.4,910
11,1757000600000000000,104.4,105.0,100.0,104.5,900
12,1757000660000000000,104.5,105.0,100.0,104.6,890
13,1757000720000000000,104.6,105.0,100.0,104.7,880
14,1757000780000000000,104.7,105.0,100.0,104.745,870
15,1757000840000000000,104.745,105.0,100.0,104.735,860
16,1757000900000000000,104.735,105.0,100.0,104.77,850
17,1757000960000000000,104.77,105.0,100.0,104.715,840
18,1757001020000000000,104.715,104.5,100.5,104.6,830
19,1757001080000000000,104.6,104.5,100.0,104.45,820
20,1757001140000000000,104.45,104.5,100.5,104.3,810
21,1757001200000000000,104.3,104.5,100.5,104.2,800
22,1757001260000000000,104.2,104.5,100.5,104.1,790
23,1757001320000000000,104.1,104.5,100.5,104.0,780
24,1757001380000000000,104.0,105.0,100.5,103.9,770
